PINN Training Results
==================================================
Final c value: 1.000249
Error in c: 0.000249
Final training loss: 1.526947e-06

Training History:
Epoch 314: loss=3.038506e-05, c=0.951016
Epoch 315: loss=2.904403e-05, c=0.951616
Epoch 316: loss=2.890009e-05, c=0.952204
Epoch 317: loss=2.893485e-05, c=0.952790
Epoch 318: loss=2.847546e-05, c=0.953369
Epoch 319: loss=2.766453e-05, c=0.953927
Epoch 320: loss=2.780840e-05, c=0.954486
Epoch 321: loss=2.707356e-05, c=0.955052
Epoch 322: loss=2.641337e-05, c=0.955612
Epoch 323: loss=2.579055e-05, c=0.956154
Epoch 324: loss=2.553913e-05, c=0.956681
Epoch 325: loss=2.515649e-05, c=0.957210
Epoch 326: loss=2.483755e-05, c=0.957738
Epoch 327: loss=2.463474e-05, c=0.958257
Epoch 328: loss=2.403065e-05, c=0.958766
Epoch 329: loss=2.464057e-05, c=0.959284
Epoch 330: loss=2.420767e-05, c=0.959794
Epoch 331: loss=2.373261e-05, c=0.960290
Epoch 332: loss=2.319661e-05, c=0.960766
Epoch 333: loss=2.269620e-05, c=0.961238
Epoch 334: loss=2.225203e-05, c=0.961729
Epoch 335: loss=2.189116e-05, c=0.962221
Epoch 336: loss=2.115041e-05, c=0.962689
Epoch 337: loss=2.082458e-05, c=0.963140
Epoch 338: loss=2.061779e-05, c=0.963576
Epoch 339: loss=2.074572e-05, c=0.964042
Epoch 340: loss=2.019170e-05, c=0.964508
Epoch 341: loss=1.990844e-05, c=0.964961
Epoch 342: loss=1.959740e-05, c=0.965381
Epoch 343: loss=1.939330e-05, c=0.965798
Epoch 344: loss=1.918229e-05, c=0.966222
Epoch 345: loss=1.916676e-05, c=0.966664
Epoch 346: loss=1.838405e-05, c=0.967081
Epoch 347: loss=1.874361e-05, c=0.967488
Epoch 348: loss=1.875648e-05, c=0.967889
Epoch 349: loss=1.882133e-05, c=0.968292
Epoch 350: loss=1.834542e-05, c=0.968696
Epoch 351: loss=1.853244e-05, c=0.969094
Epoch 352: loss=1.925049e-05, c=0.969490
Epoch 353: loss=1.940439e-05, c=0.969881
Epoch 354: loss=2.066588e-05, c=0.970256
Epoch 355: loss=2.141940e-05, c=0.970625
Epoch 356: loss=2.499067e-05, c=0.970994
Epoch 357: loss=2.900374e-05, c=0.971375
Epoch 358: loss=3.568118e-05, c=0.971740
Epoch 359: loss=4.593102e-05, c=0.972109
Epoch 360: loss=6.324513e-05, c=0.972449
Epoch 361: loss=8.967133e-05, c=0.972814
Epoch 362: loss=1.306720e-04, c=0.973154
Epoch 363: loss=1.963389e-04, c=0.973532
Epoch 364: loss=2.982711e-04, c=0.973856
Epoch 365: loss=4.614859e-04, c=0.974226
Epoch 366: loss=7.190290e-04, c=0.974533
Epoch 367: loss=1.123359e-03, c=0.974968
Epoch 368: loss=1.708823e-03, c=0.975303
Epoch 369: loss=2.523887e-03, c=0.975791
Epoch 370: loss=3.439042e-03, c=0.976137
Epoch 371: loss=4.247245e-03, c=0.976704
Epoch 372: loss=4.331779e-03, c=0.977191
Epoch 373: loss=3.435594e-03, c=0.977861
Epoch 374: loss=1.709453e-03, c=0.978459
Epoch 375: loss=2.980476e-04, c=0.979042
Epoch 376: loss=9.938017e-05, c=0.979551
Epoch 377: loss=9.175123e-04, c=0.979962
Epoch 378: loss=1.644636e-03, c=0.980470
Epoch 379: loss=1.384385e-03, c=0.980964
Epoch 380: loss=4.918504e-04, c=0.981494
Epoch 381: loss=1.553043e-05, c=0.981978
Epoch 382: loss=3.694655e-04, c=0.982339
Epoch 383: loss=8.622624e-04, c=0.982704
Epoch 384: loss=7.380997e-04, c=0.983091
Epoch 385: loss=2.142585e-04, c=0.983544
Epoch 386: loss=2.362255e-05, c=0.983974
Epoch 387: loss=3.175796e-04, c=0.984297
Epoch 388: loss=5.352161e-04, c=0.984592
Epoch 389: loss=3.251285e-04, c=0.984897
Epoch 390: loss=4.004845e-05, c=0.985260
Epoch 391: loss=8.179084e-05, c=0.985623
Epoch 392: loss=2.924262e-04, c=0.985921
Epoch 393: loss=2.920218e-04, c=0.986184
Epoch 394: loss=9.282863e-05, c=0.986430
Epoch 395: loss=1.644000e-05, c=0.986714
Epoch 396: loss=1.341958e-04, c=0.987029
Epoch 397: loss=2.068608e-04, c=0.987298
Epoch 398: loss=1.130668e-04, c=0.987530
Epoch 399: loss=1.491975e-05, c=0.987735
Epoch 400: loss=5.320027e-05, c=0.987957
Epoch 401: loss=1.282285e-04, c=0.988213
Epoch 402: loss=1.041851e-04, c=0.988458
Epoch 403: loss=2.726489e-05, c=0.988665
Epoch 404: loss=1.999531e-05, c=0.988851
Epoch 405: loss=7.297788e-05, c=0.989032
Epoch 406: loss=8.297715e-05, c=0.989230
Epoch 407: loss=3.566001e-05, c=0.989430
Epoch 408: loss=1.106181e-05, c=0.989621
Epoch 409: loss=3.829522e-05, c=0.989796
Epoch 410: loss=6.018642e-05, c=0.989947
Epoch 411: loss=3.941378e-05, c=0.990111
Epoch 412: loss=1.232296e-05, c=0.990288
Epoch 413: loss=1.867729e-05, c=0.990463
Epoch 414: loss=3.909148e-05, c=0.990622
Epoch 415: loss=3.679827e-05, c=0.990753
Epoch 416: loss=1.630390e-05, c=0.990895
Epoch 417: loss=1.100578e-05, c=0.991050
Epoch 418: loss=2.355169e-05, c=0.991204
Epoch 419: loss=2.950288e-05, c=0.991348
Epoch 420: loss=1.919655e-05, c=0.991478
Epoch 421: loss=9.779530e-06, c=0.991604
Epoch 422: loss=1.440604e-05, c=0.991740
Epoch 423: loss=2.201654e-05, c=0.991879
Epoch 424: loss=1.984374e-05, c=0.992014
Epoch 425: loss=1.194482e-05, c=0.992135
Epoch 426: loss=9.669790e-06, c=0.992250
Epoch 427: loss=1.517563e-05, c=0.992372
Epoch 428: loss=1.758015e-05, c=0.992494
Epoch 429: loss=1.336608e-05, c=0.992617
Epoch 430: loss=9.197176e-06, c=0.992733
Epoch 431: loss=1.041267e-05, c=0.992837
Epoch 432: loss=1.360547e-05, c=0.992941
Epoch 433: loss=1.352587e-05, c=0.993050
Epoch 434: loss=1.056271e-05, c=0.993175
Epoch 435: loss=8.840143e-06, c=0.993281
Epoch 436: loss=1.039058e-05, c=0.993374
Epoch 437: loss=1.205331e-05, c=0.993467
Epoch 438: loss=1.065303e-05, c=0.993570
Epoch 439: loss=9.039848e-06, c=0.993679
Epoch 440: loss=8.460715e-06, c=0.993777
Epoch 441: loss=9.908586e-06, c=0.993867
Epoch 442: loss=1.043113e-05, c=0.993958
Epoch 443: loss=9.438356e-06, c=0.994057
Epoch 444: loss=8.441701e-06, c=0.994153
Epoch 445: loss=8.432566e-06, c=0.994243
Epoch 446: loss=9.528623e-06, c=0.994326
Epoch 447: loss=9.446136e-06, c=0.994411
Epoch 448: loss=8.799551e-06, c=0.994500
Epoch 449: loss=8.298500e-06, c=0.994591
Epoch 450: loss=8.370530e-06, c=0.994678
Epoch 451: loss=8.770035e-06, c=0.994761
Epoch 452: loss=8.901128e-06, c=0.994842
Epoch 453: loss=8.381811e-06, c=0.994921
Epoch 454: loss=7.839932e-06, c=0.994996
Epoch 455: loss=8.041910e-06, c=0.995087
Epoch 456: loss=8.237404e-06, c=0.995164
Epoch 457: loss=8.375031e-06, c=0.995238
Epoch 458: loss=8.085519e-06, c=0.995307
Epoch 459: loss=7.870372e-06, c=0.995390
Epoch 460: loss=7.976612e-06, c=0.995472
Epoch 461: loss=7.865324e-06, c=0.995538
Epoch 462: loss=8.139548e-06, c=0.995607
Epoch 463: loss=7.811450e-06, c=0.995676
Epoch 464: loss=7.732281e-06, c=0.995756
Epoch 465: loss=7.814865e-06, c=0.995821
Epoch 466: loss=7.713388e-06, c=0.995888
Epoch 467: loss=7.643146e-06, c=0.995951
Epoch 468: loss=7.756383e-06, c=0.996023
Epoch 469: loss=7.833800e-06, c=0.996100
Epoch 470: loss=7.557409e-06, c=0.996158
Epoch 471: loss=7.383167e-06, c=0.996205
Epoch 472: loss=7.434553e-06, c=0.996272
Epoch 473: loss=7.606032e-06, c=0.996347
Epoch 474: loss=7.417215e-06, c=0.996424
Epoch 475: loss=7.341989e-06, c=0.996468
Epoch 476: loss=7.466848e-06, c=0.996519
Epoch 477: loss=7.478152e-06, c=0.996583
Epoch 478: loss=7.388969e-06, c=0.996651
Epoch 479: loss=7.248840e-06, c=0.996713
Epoch 480: loss=7.260869e-06, c=0.996760
Epoch 481: loss=7.000125e-06, c=0.996804
Epoch 482: loss=7.155109e-06, c=0.996862
Epoch 483: loss=7.223171e-06, c=0.996929
Epoch 484: loss=7.284769e-06, c=0.996991
Epoch 485: loss=7.232632e-06, c=0.997041
Epoch 486: loss=7.068749e-06, c=0.997083
Epoch 487: loss=7.083474e-06, c=0.997126
Epoch 488: loss=7.247497e-06, c=0.997187
Epoch 489: loss=7.260425e-06, c=0.997250
Epoch 490: loss=7.166565e-06, c=0.997299
Epoch 491: loss=7.140622e-06, c=0.997341
Epoch 492: loss=6.770338e-06, c=0.997384
Epoch 493: loss=7.085744e-06, c=0.997436
Epoch 494: loss=6.733441e-06, c=0.997495
Epoch 495: loss=6.817985e-06, c=0.997541
Epoch 496: loss=7.027221e-06, c=0.997586
Epoch 497: loss=6.853607e-06, c=0.997630
Epoch 498: loss=6.996234e-06, c=0.997676
Epoch 499: loss=6.773106e-06, c=0.997724
Epoch 500: loss=6.804541e-06, c=0.997765
Epoch 501: loss=6.781179e-06, c=0.997807
Epoch 502: loss=6.941606e-06, c=0.997860
Epoch 503: loss=6.766680e-06, c=0.997900
Epoch 504: loss=6.853936e-06, c=0.997939
Epoch 505: loss=6.718228e-06, c=0.997979
Epoch 506: loss=6.554076e-06, c=0.998021
Epoch 507: loss=6.741509e-06, c=0.998056
Epoch 508: loss=6.702141e-06, c=0.998096
Epoch 509: loss=6.698272e-06, c=0.998143
Epoch 510: loss=6.540273e-06, c=0.998188
Epoch 511: loss=6.542514e-06, c=0.998220
Epoch 512: loss=6.796363e-06, c=0.998243
Epoch 513: loss=6.510661e-06, c=0.998281
Epoch 514: loss=6.533399e-06, c=0.998327
Epoch 515: loss=6.585512e-06, c=0.998372
Epoch 516: loss=6.542024e-06, c=0.998402
Epoch 517: loss=6.670824e-06, c=0.998424
Epoch 518: loss=6.714296e-06, c=0.998463
Epoch 519: loss=6.315265e-06, c=0.998502
Epoch 520: loss=6.364389e-06, c=0.998540
Epoch 521: loss=6.656779e-06, c=0.998579
Epoch 522: loss=6.484658e-06, c=0.998603
Epoch 523: loss=6.214138e-06, c=0.998627
Epoch 524: loss=6.467109e-06, c=0.998661
Epoch 525: loss=6.426978e-06, c=0.998698
Epoch 526: loss=6.622625e-06, c=0.998734
Epoch 527: loss=6.170540e-06, c=0.998764
Epoch 528: loss=6.276668e-06, c=0.998786
Epoch 529: loss=6.163628e-06, c=0.998810
Epoch 530: loss=6.416092e-06, c=0.998852
Epoch 531: loss=6.107724e-06, c=0.998886
Epoch 532: loss=6.131706e-06, c=0.998906
Epoch 533: loss=6.151829e-06, c=0.998922
Epoch 534: loss=6.376397e-06, c=0.998951
Epoch 535: loss=6.146927e-06, c=0.998992
Epoch 536: loss=6.121006e-06, c=0.999024
Epoch 537: loss=6.240990e-06, c=0.999041
Epoch 538: loss=6.054056e-06, c=0.999056
Epoch 539: loss=6.297992e-06, c=0.999088
Epoch 540: loss=6.220552e-06, c=0.999126
Epoch 541: loss=6.020103e-06, c=0.999152
Epoch 542: loss=6.019265e-06, c=0.999169
Epoch 543: loss=5.962606e-06, c=0.999185
Epoch 544: loss=6.075372e-06, c=0.999210
Epoch 545: loss=5.992038e-06, c=0.999237
Epoch 546: loss=5.958497e-06, c=0.999263
Epoch 547: loss=6.151341e-06, c=0.999288
Epoch 548: loss=6.003492e-06, c=0.999311
Epoch 549: loss=5.815934e-06, c=0.999334
Epoch 550: loss=5.797594e-06, c=0.999352
Epoch 551: loss=5.856084e-06, c=0.999368
